Gene,"k_on, k_off, k_syn",freq_point,lower,upper ,size_point,lower,upper ,
ENSG00000114686.4,[1.79880561 1.39440232 1.80439749],[1.79880561,1.03970211,3.16854154],[1.29402932,0.48716963,3.19120335],
ENSG00000172500.8,[1.63114441 1.70376039 1.9647531 ],[1.63114441,1.0527181,2.61651853],[1.11859069,0.51743684,2.35400826],
ENSG00000197006.9,[1.71454963 1.26258762 2.03189199],[1.71454963,1.08492599,2.6576185 ],[1.65758694,0.76061235,3.42746289],
ENSG00000086504.11,[2.02635857 1.53038769 2.00353456],[1.92504064,1.16089375,3.41462652],[1.38771806,0.52714775,3.3333447,]
ENSG00000007080.6,[2.33596531 1.8197581  2.2768054 ],[2.21916705,1.32973657,3.85973177],[1.36376252,0.51534901,3.28514423],
ENSG00000180879.9,[1.92821601 1.2978723  3.24100284],[1.92821601,1.45549905,2.60310584],[2.49716619,1.47824683,4.05344848],
ENSG00000146540.10,[2.06042658 2.68527804 2.83332992],[2.06042658,1.46707529,2.9618135 ],[1.05513466,0.5623269,1.87810896],
ENSG00000139684.9,[2.02848528 2.68417672 2.90950636],[2.02848528,1.50311898,2.87642578],[1.05142897,0.59256257,1.80403114],
ENSG00000110801.9,[2.25855186 2.393079   2.51984406],[2.25855186,1.5125565,3.50819032],[1.05297153,0.48577375,2.09230022],
ENSG00000105700.6,[2.23053711 2.97114988 3.02164006],[2.23053711,1.58621474,3.16632501],[1.04750329,0.55154481,1.82408363],
ENSG00000165672.5,[2.47626683 1.67575109 2.98247089],[2.47626683,1.66435645,3.87041777],[1.77978156,0.8004029,3.57507801],
ENSG00000139168.3,[2.21794861 2.35743124 3.67821411],[2.21794861,1.75886952,2.84852186],[1.56026358,1.00767497,2.33053607],
ENSG00000165264.6,[2.72271717 2.71535729 2.92999843],[2.72271717,1.80395002,4.43065203],[1.07904711,0.45045503,2.22226132],
ENSG00000122034.8,[2.22831842 4.7454303  5.52238382],[2.22831842,1.86042533,2.72060954],[1.16372667,0.82210177,1.60097628],
ENSG00000185088.8,[2.56599004 3.26079867 3.67607635],[2.56599004,1.90158603,3.58581158],[1.12735459,0.62198222,1.9068683,]
ENSG00000219200.6,[2.47680226 2.02823158 4.99078937],[2.47680226,2.02433543,3.08501286],[2.46066051,1.66080577,3.52879629],
ENSG00000167775.6,[2.50365647 3.46745732 5.60451075],[2.50365647,2.08824826,3.06302794],[1.61631716,1.1294996,2.24650865],
ENSG00000109113.13,[2.73571862 4.63082451 4.75050043],[2.73571862,2.11827121,3.64751219],[1.02584333,0.61456944,1.60789005],
ENSG00000127445.9,[2.47142723 3.91140955 6.92894797],[2.47142723,2.12028431,2.91254524],[1.77147084,1.32794677,2.31334626],
ENSG00000106628.6,[2.94477258 4.67121595 4.7066782 ],[2.94477258,2.23861523,4.02354983],[1.00759165,0.57528755,1.63756178],
ENSG00000102317.13,[2.76339714 3.65206556 6.11128783],[2.76339714,2.31427653,3.3671964 ],[1.67337846,1.17408154,2.31198546],
ENSG00000105968.14,[ 2.72442079 10.6800788  11.26146979],[2.72442079,2.33183912,3.16319625],[1.08607007,0.81161465,1.37949809],
ENSG00000116030.12,[3.01043015 3.12851722 4.79859323],[3.01043015,2.34402938,3.9888477 ],[1.5338235,0.92245488,2.40073577],
ENSG00000171222.6,[2.99484936 5.63010858 6.01644374],[2.99484936,2.36547105,3.90749455],[1.06861949,0.6623735,1.62556909],
ENSG00000262814.2,[2.83616668 5.741246   7.61448455],[2.83616668,2.40728813,3.39502844],[1.32627735,0.96298318,1.77412979],
ENSG00000180992.5,[3.06809397 5.39977222 6.11965278],[3.06809397,2.45057956,3.94811881],[1.13331684,0.71973624,1.69311388],
ENSG00000165283.11,[2.93946683 5.87147378 7.24289847],[2.93946683,2.45454399,3.60957853],[1.23357418,0.85331863,1.71645247],
ENSG00000169976.5,[3.16009715 6.00515164 6.0280793 ],[3.16009715,2.48423028,4.14168965],[1.003818,0.61623492,1.5417695,]
ENSG00000254999.2,[3.21502426 4.52975838 5.60926574],[3.21502426,2.5414758,4.1958    ],[1.23831456,0.76482701,1.88815577],
ENSG00000184983.5,[3.05502003 4.36994907 6.7825561 ],[3.05502003,2.55844838,3.74474353],[1.55209042,1.07443233,2.15080762],
ENSG00000100300.13,[3.07395451 6.17855013 8.41214035],[3.07395451,2.60888722,3.68228299],[1.36150718,0.98459359,1.82660325],
ENSG00000132432.9,[3.16812807 3.69861696 6.60472257],[3.16812807,2.6480754,3.88851605],[1.78572765,1.23119818,2.49154482],
ENSG00000165119.14,[3.73912514 3.43853422 4.87841248],[3.73912514,2.67162778,5.64122456],[1.41874769,0.66375591,2.62563291],
ENSG00000151366.8,[3.13710978 4.11575275 8.35218369],[3.13710978,2.67244087,3.73356173],[2.02932105,1.48069466,2.71071292],
ENSG00000173674.6,[3.15597937 6.38327737 8.7511006 ],[3.15597937,2.67340937,3.79001647],[1.37094162,0.9856597,1.84899114],
ENSG00000167815.7,[3.18782325 4.47007402 7.93948046],[3.18782325,2.70813474,3.81403286],[1.77614071,1.28421603,2.38450513],
ENSG00000174886.8,[3.97165981 8.76411122 8.78186757],[3.97165981,3.20797076,5.08157195],[1.00202603,0.63771386,1.47917398],
ENSG00000171314.8,[3.92817691 7.92796978 8.98311384],[3.92817691,3.21400798,4.94891638],[1.13309133,0.74214403,1.63567541],
ENSG00000139343.6,[ 3.80708933  5.88066285 10.20073838],[3.80708933,3.26381069,4.51293666],[1.73462391,1.27223235,2.290607,]
ENSG00000169714.12,[ 3.90075922 15.01381883 17.69246487],[3.90075922,3.3474721,4.61922988],[1.17841204,0.86679539,1.55176632],
ENSG00000078618.15,[ 2.53684591 32.55049736 33.40783754],[2.66368821,nan,nan],[0.87238796,0.8412152,0.96705515],
ENSG00000115875.14,[ 3.21303788 23.6933902  24.19396479],[3.53434166,nan,nan],[0.89859192,0.85684844,1.13693412],
ENSG00000228474.1,[ 4.39920557 38.25317855 38.83114123],[4.39920557,nan,nan],[1.01510888,0.85985584,1.3119746,]
ENSG00000135046.9,[  2.5404716  462.37158893 467.25256706],[2.66749518,nan,nan],[0.94992301,0.90994818,0.99111216],
ENSG00000184990.8,[2.42163696 7.74266272 9.22673524],[2.42163696,nan,nan],[1.1916747,0.91744779,1.51596026],
ENSG00000141552.13,[ 3.62590224 17.69408464 19.03569586],[3.44460713,nan,nan],[1.20492129,0.91820124,1.53606993],
ENSG00000132329.6,[ 0.76414703 10.60125082 11.14183221],[0.76414703,nan,nan],[1.11405176,0.9187691,1.2796332,]
ENSG00000108821.9,[8.22864686e-02 1.61364628e+02 1.71590418e+02],[0.08228647,nan,nan],[1.06337071,0.92295319,1.20121576],
ENSG00000142864.10,[  4.35909571 286.57891637 286.94003365],[4.35909571,nan,nan],[1.0012601,0.95609322,1.0390515,]
ENSG00000170540.10,[5.75013318e-01 7.69538298e+02 7.89970131e+02],[0.57501332,nan,nan],[1.02655077,0.96659273,1.09005911],
ENSG00000166311.5,[0.90733284 8.17847554 8.92425469],[0.8619662,nan,nan],[1.15665932,0.96678689,1.37666581],
ENSG00000090266.8,[ 4.06387846 20.54668579 21.82654913],[3.65749062,nan,nan],[1.28537151,0.98637856,1.67142434],
ENSG00000130529.11,[  1.7286293  430.85653615 449.32309135],[1.7286293,nan,nan],[1.0428601,0.98773653,1.08180228],
ENSG00000142168.10,[ 5.1608071  76.32506298 78.68105767],[4.38668604,nan,nan],[1.0308679,0.98841867,1.0764644,]
ENSG00000165916.4,[  3.4414053  292.07472339 302.60030275],[3.4414053,nan,nan],[1.03603728,0.98910627,1.07449727],
ENSG00000177697.13,[ 1.32033576  9.14572786 10.59977033],[1.32033576,nan,nan],[1.19375556,0.99059798,1.41533792],
ENSG00000204387.8,[  3.46566925 623.14335443 647.13458247],[3.46566925,nan,nan],[1.03850034,0.99216766,1.07614577],
ENSG00000111716.8,[  3.92091266 543.32563048 562.03607762],[3.92091266,nan,nan],[1.03443689,0.99360285,1.07609332],
ENSG00000163497.2,[0.39055232 5.42633509 6.35597238],[0.39055232,nan,nan],[1.17131955,0.99398987,1.3792216,]
ENSG00000165502.6,[ 4.82389886 47.42283941 52.4913882 ],[4.82389886,nan,nan],[1.10687991,0.99978559,1.39890062],
ENSG00000124795.10,[  3.21745662 126.65447452 132.24980121],[3.21745662,nan,nan],[1.04417788,1.00117506,1.08849888],
ENSG00000170891.6,[ 0.28560601 41.86395802 45.70364145],[0.28560601,nan,nan],[1.09171812,1.00521578,1.16878186],
ENSG00000182117.4,[  4.04309215 119.24822125 125.05997985],[4.04309215,nan,nan],[1.04873665,1.00610812,1.09246724],
ENSG00000136810.8,[  4.24458084 668.7436696  706.88612834],[4.24458084,nan,nan],[1.05703599,1.00979341,1.09429076],
ENSG00000126777.13,[ 3.12543362 24.3693532  29.43314759],[3.12543362,nan,nan],[1.20779355,1.01265998,1.47614771],
ENSG00000112081.12,[ 4.2971231  18.40797827 23.9236705 ],[4.2971231,nan,nan],[1.29963596,1.01726275,1.66304491],
ENSG00000147684.3,[  5.03669032 176.95469076 188.86973318],[4.02935226,nan,nan],[1.06733386,1.02542487,1.11141793],
ENSG00000116649.5,[  3.38853416 704.68002356 743.32987331],[3.38853416,nan,nan],[1.0864928,1.02788404,1.12098122],
ENSG00000163399.11,[  2.48862348 557.54369349 600.59951894],[2.48862348,nan,nan],[1.07722413,1.03045047,1.11903563],
ENSG00000074071.9,[ 3.29369227 14.94626177 15.98897308],[2.96432304,nan,nan],[1.35860031,1.03221494,1.72231786],
ENSG00000184076.10,[ 4.03907824 50.92193858 54.92070526],[3.63517041,nan,nan],[1.07852739,1.03392973,1.12621902],
ENSG00000198258.6,[ 4.83315695 52.55818118 57.26613993],[4.83315695,nan,nan],[1.08957614,1.04370883,1.37799448],
ENSG00000169020.5,[  3.80322164 120.77747089 132.14994326],[3.80322164,nan,nan],[1.09416054,1.0509325,1.13898993],
ENSG00000130203.5,[ 0.2516523  42.0735778  49.55582584],[0.26423492,nan,nan],[1.1425021,1.0542914,1.23826564],
ENSG00000114850.2,[ 3.76944006 40.29830837 40.57153222],[3.20402405,nan,nan],[1.33901744,1.05661268,1.6692029,]
ENSG00000142227.6,[  3.27365369 146.97708122 162.26020074],[3.27365369,nan,nan],[1.10398301,1.0568682,1.14616365],
ENSG00000123200.12,[  2.10536661 284.39359272 313.53575538],[2.10536661,nan,nan],[1.10247123,1.05798199,1.14951034],
ENSG00000135390.13,[  5.79521503 328.8118835  355.65953334],[4.34641127,nan,nan],[1.1141,1.07159482,1.15798353],
ENSG00000116774.7,[1.55626584 8.66167079 9.93006778],[1.40063925,nan,nan],[1.3184036,1.07373922,1.59515685],
ENSG00000175334.3,[ 4.35436036 74.36009738 84.5959639 ],[3.70120631,nan,nan],[1.13765268,1.09299972,1.18519678],
ENSG00000213190.2,[  2.65430398 549.81545249 627.1828515 ],[2.65430398,nan,nan],[1.14071521,1.09536915,1.18593715],
ENSG00000156467.5,[ 3.81117859 15.56917932 22.61476535],[3.81117859,nan,nan],[1.40895817,1.10802991,1.75192514],
ENSG00000161031.8,[5.69021632e-01 6.09841470e+02 6.45156736e+02],[0.54057055,nan,nan],[1.184858,1.11152357,1.24748354],
ENSG00000137710.10,[  2.85384311 527.7116654  614.20066229],[2.85384311,nan,nan],[1.16389442,1.11903146,1.20980771],
ENSG00000182004.8,[  5.07322949 102.1675695  119.20007979],[5.07322949,nan,nan],[1.16671151,1.12172258,1.21298115],
ENSG00000078596.6,[  2.83177026 614.739024   721.66735642],[2.83177026,nan,nan],[1.17394102,1.12865279,1.21931355],
ENSG00000127540.7,[  4.70971427 211.48195975 242.59933064],[3.76777142,nan,nan],[1.18155379,1.13320831,1.22389916],
ENSG00000155368.12,[ 3.91051417 14.20193923 20.49179575],[3.91051417,nan,nan],[1.44288716,1.13475923,1.80439666],
ENSG00000112559.9,[ 1.75428784 47.38740422 60.36149149],[1.84200223,nan,nan],[1.19736042,1.15047416,1.24635703],
ENSG00000134057.10,[  0.74046084 467.09369604 562.46644232],[0.74046084,nan,nan],[1.20418333,1.15770883,1.28234406],
ENSG00000104979.4,[ 3.90392437 30.86677893 35.54396102],[3.51353193,nan,nan],[1.46244059,1.1591157,1.78017034],
ENSG00000110492.11,[  1.89037835 237.45821251 297.58600592],[1.98489727,nan,nan],[1.21561778,1.1678195,1.26510845],
ENSG00000173915.8,[ 4.5651943  44.895271   57.96397354],[4.5651943,nan,nan],[1.29109308,1.17009609,1.58273019],
ENSG00000166851.10,[0.4817422  4.69821097 6.29314902],[0.4817422,nan,nan],[1.33947774,1.1713578,1.55208614],
ENSG00000159176.9,[  2.92502074 147.33247841 179.45332394],[2.92502074,nan,nan],[1.21801605,1.17253619,1.26682755],
ENSG00000167088.6,[ 4.68062777 55.51054193 67.78642188],[3.9785336,nan,nan],[1.22114502,1.17416739,1.27144699],
ENSG00000099624.3,[ 4.11610265 16.58624405 17.87782915],[3.29288212,nan,nan],[1.59524887,1.18397574,2.07540937],
ENSG00000119801.8,[  1.46147441 204.43464571 252.59414042],[1.46147441,nan,nan],[1.23557404,1.18449215,1.2860921,]
ENSG00000169136.4,[  0.77550656 416.56293964 519.4740857 ],[0.77550656,nan,nan],[1.24704825,1.18836882,1.30640923],
ENSG00000069275.12,[  2.76943668 472.76258919 587.15287116],[2.76943668,nan,nan],[1.24196137,1.19053919,1.28442923],
ENSG00000118680.8,[  4.62107167 438.67209118 547.45414556],[4.62107167,nan,nan],[1.24798034,1.20390579,1.29548039],
ENSG00000159335.11,[ 3.75457118 72.2507373  90.39739935],[3.37911406,nan,nan],[1.25116231,1.20405582,1.30088614],
ENSG00000166681.9,[ 3.23980613 19.01865201 24.88228572],[3.07781583,nan,nan],[1.50455608,1.21821537,1.80150225],
ENSG00000131747.10,[0.38940395 3.83027406 5.50408154],[0.38940395,nan,nan],[1.43699418,1.25169441,1.65660735],
ENSG00000149925.12,[  5.15248908 162.88160314 212.08945348],[4.12199127,nan,nan],[1.30210809,1.25548152,1.35116879],
ENSG00000115163.10,[0.32780018 3.46841446 5.03259183],[0.32780018,nan,nan],[1.45097764,1.26001484,1.68085451],
ENSG00000149485.12,[  1.60996747 163.04549323 217.68614451],[1.60996747,nan,nan],[1.33512519,1.27120635,1.37970602],
ENSG00000131174.4,[  3.84018571 476.69762111 633.04292528],[3.84018571,nan,nan],[1.32797584,1.27498782,1.37138009],
ENSG00000241468.3,[ 3.78621779 10.87537053 17.52864821],[3.78621779,nan,nan],[1.6117748,1.27543454,1.99238502],
ENSG00000175130.6,[ 2.75798747 66.70537072 92.05905076],[2.6200881,nan,nan],[1.38008454,1.28461987,1.43310281],
ENSG00000198467.9,[5.96317291e-01 6.93330047e+02 9.38610336e+02],[0.59631729,nan,nan],[1.35377132,1.28750954,1.42471281],
ENSG00000123144.6,[ 2.97814558  6.4672082  10.69967012],[2.97814558,nan,nan],[1.65444962,1.29209127,2.07951089],
ENSG00000173207.8,[  3.17799001 341.6662951  458.15044676],[3.17799001,nan,nan],[1.3409296,1.29256461,1.38998311],
ENSG00000173457.6,[  2.00458661 236.42177453 322.28953136],[2.00458661,nan,nan],[1.36319733,1.29256552,1.40196008],
ENSG00000177700.5,[ 3.32094388 44.36322955 59.72031283],[3.15489669,nan,nan],[1.34616694,1.29561268,1.39897775],
ENSG00000143933.12,[  3.19131607 432.47214274 604.74032272],[3.35088188,nan,nan],[1.35638358,1.29823174,1.39771653],
ENSG00000125691.8,[ 3.90522912 27.59995202 43.29092635],[3.90522912,nan,nan],[1.56851455,1.30338047,1.86827999],
ENSG00000154723.8,[ 4.45470693 36.58963256 43.09669811],[3.78650089,nan,nan],[1.63719628,1.31234907,2.01785952],
ENSG00000124614.9,[ 4.51243131 24.89313734 30.02185473],[3.83556661,nan,nan],[1.67638082,1.31403816,2.08561628],
ENSG00000122566.16,[ 5.65175955 27.92355583 32.4918962 ],[4.52140764,nan,nan],[1.72213047,1.32352552,2.22487358],
ENSG00000135486.13,[  5.1789213   82.55516508 114.14787071],[4.4020831,nan,nan],[1.382686,1.33344736,1.43468217],
ENSG00000145912.4,[  2.54731282 202.84068167 284.81676185],[2.54731282,nan,nan],[1.40414023,1.35396923,1.45593722],
ENSG00000145494.7,[3.03987104 5.11715805 9.23832472],[3.03987104,nan,nan],[1.8053624,1.35640981,2.34109577],
ENSG00000148677.6,[2.45302812e-02 1.45634528e+02 1.99984771e+02],[0.02207725,nan,nan],[1.66156732,1.35879966,2.04111726],
ENSG00000154518.5,[ 3.72883279 35.95299647 54.0963965 ],[3.72883279,nan,nan],[1.50464222,1.35898158,1.78049824],
ENSG00000169689.10,[ 2.28241129 17.47056685 25.5715012 ],[2.16829073,nan,nan],[1.59542255,1.3749127,1.87181081],
ENSG00000114942.9,[  3.77365512 514.18554949 729.59994812],[3.77365512,nan,nan],[1.41894293,1.37634078,1.47906888],
ENSG00000067225.13,[ 5.43150606 47.29217547 71.95254626],[5.43150606,nan,nan],[1.52144716,1.38259488,1.84444124],
ENSG00000117399.9,[ 0.65546935 37.31942981 54.46925383],[0.65546935,nan,nan],[1.45954143,1.39169188,1.53076962],
ENSG00000168653.6,[ 4.63219228 27.90481068 34.58385929],[3.93736343,nan,nan],[1.75987864,1.39212765,2.1667877,]
ENSG00000188229.5,[  1.82503256 204.30333626 304.93721497],[1.91628419,nan,nan],[1.44779378,1.39312304,1.49940983],
ENSG00000134333.9,[  2.98089694 425.31169738 617.41849768],[2.98089694,nan,nan],[1.45168473,1.40092522,1.50284933],
ENSG00000132963.7,[  4.71776796 175.9393722  260.75315082],[4.71776796,nan,nan],[1.48206253,1.43210482,1.53512233],
ENSG00000103363.10,[ 3.72467995 11.6198783  20.61373906],[3.72467995,nan,nan],[1.77400645,1.44693293,2.14039992],
ENSG00000164611.8,[  1.20203719 102.73295504 154.99468829],[1.20203719,nan,nan],[1.5087144,1.45033868,1.56946417],
ENSG00000164405.6,[ 4.55596958 55.1282007  82.96619729],[4.10037262,nan,nan],[1.50496835,1.45219992,1.56106339],
ENSG00000239672.3,[ 4.92135684 41.45062738 53.50731992],[4.18315332,nan,nan],[1.83303364,1.48208369,2.21963801],
ENSG00000107796.8,[3.23761993e-01 7.14277371e+02 1.12753511e+03],[0.32376199,nan,nan],[1.57856759,1.48466129,1.6747258,]
ENSG00000173812.6,[   3.91594409  637.21467101 1021.66127884],[4.11174129,nan,nan],[1.55522383,1.48888967,1.59288607],
ENSG00000096384.15,[   3.65738332  697.31330018 1106.83009465],[3.84025249,nan,nan],[1.53965971,1.48959048,1.59565469],
ENSG00000143977.9,[ 4.08230071 13.17491101 24.03307358],[4.08230071,nan,nan],[1.82415453,1.48969448,2.19797729],
ENSG00000179091.4,[  4.05882012 420.37964841 655.11829016],[4.05882012,nan,nan],[1.55839678,1.50684961,1.61389863],
ENSG00000145741.11,[  5.3181475  140.23756769 218.83166553],[3.72270325,nan,nan],[1.5604354,1.50795739,1.61570853],
ENSG00000145247.7,[  2.17453349 388.98512086 605.68747485],[2.17453349,nan,nan],[1.55709677,1.50816773,1.62026297],
ENSG00000087586.13,[0.33499491 4.04627286 6.89575113],[0.33499491,nan,nan],[1.70422297,1.51347294,1.92398864],
ENSG00000131469.8,[ 4.83877944 60.04297662 94.67558388],[3.87102355,nan,nan],[1.57679697,1.52274295,1.63456551],
ENSG00000169100.8,[ 4.28505954 22.90662316 40.51058292],[4.28505954,nan,nan],[1.7685096,1.53082682,2.10242785],
ENSG00000169230.5,[ 2.48785229 56.20018223 94.90261588],[2.48785229,nan,nan],[1.58733398,1.53232374,1.74057487],
ENSG00000103202.8,[ 2.26053037 11.50951781 19.30800547],[2.14750386,nan,nan],[1.82854975,1.55587196,2.09613128],
ENSG00000117450.9,[  4.90575241 301.45470575 490.23155165],[4.90575241,nan,nan],[1.6262196,1.57172376,1.67990695],
ENSG00000108561.4,[ 4.23448379 17.9264892  26.71886167],[3.59931122,nan,nan],[1.93760863,1.57342189,2.35413395],
ENSG00000188846.9,[  5.36026272 266.55516212 439.79790205],[5.36026272,nan,nan],[1.64993204,1.59589011,1.70597103],
ENSG00000205581.6,[ 3.5436863  28.26623143 45.38015434],[3.18931767,nan,nan],[1.84627291,1.59676019,2.17822164],
ENSG00000182718.12,[  4.15987153 425.60765382 709.17420831],[4.15987153,nan,nan],[1.66626282,1.611279,1.72106216],
ENSG00000181649.5,[6.38222675e-01 5.83537015e+02 1.02926878e+03],[0.67013381,nan,nan],[1.71092955,1.61367358,1.77030378],
ENSG00000196139.7,[ 1.01495286 36.4164017  64.41379636],[1.0657005,nan,nan],[1.71574839,1.64009481,1.74291944],
ENSG00000127184.6,[  5.3739458  168.6492689  286.23402305],[4.03045935,nan,nan],[1.69721473,1.64181901,1.75494024],
ENSG00000074800.9,[  5.77107248 162.02463133 275.7080044 ],[5.77107248,nan,nan],[1.70164253,1.64298239,1.75551271],
ENSG00000255823.1,[ 2.43388982 13.30643468 25.96798654],[2.43388982,nan,nan],[1.95153602,1.6925546,2.23867704],
ENSG00000148773.8,[ 0.66835544  6.25121447 11.8417553 ],[0.66835544,nan,nan],[1.89431275,1.70945837,2.10584628],
ENSG00000167283.3,[ 4.68948475 28.04893563 55.48943278],[4.68948475,nan,nan],[1.97830797,1.73944002,2.31973694],
ENSG00000189159.11,[  2.73602431 299.38308705 550.1907375 ],[2.73602431,nan,nan],[1.83774823,1.76418402,1.88292572],
ENSG00000160932.6,[ 2.78996537 29.95630107 48.92310191],[2.51096883,nan,nan],[1.97611024,1.77776211,2.25197231],
ENSG00000167468.12,[ 3.26000651 32.69914423 65.64146592],[3.26000651,nan,nan],[2.00743681,1.80200748,2.19635601],
ENSG00000115053.11,[  2.32831394 297.92178497 571.33385121],[2.32831394,nan,nan],[1.91773103,1.82745386,1.95544979],
ENSG00000142669.9,[  2.65641687 282.26524072 541.31477832],[2.65641687,nan,nan],[1.91775217,1.82772111,1.95470067],
ENSG00000179271.1,[ 3.59884471  9.44213055 20.97048461],[3.59884471,nan,nan],[2.22094839,1.84880334,2.63956208],
ENSG00000153048.6,[ 2.84704651  8.12092034 17.72451223],[2.84704651,nan,nan],[2.18257433,1.85181315,2.54768316],
ENSG00000126267.4,[ 3.5336259   7.71256698 17.37615229],[3.5336259,nan,nan],[2.25296614,1.85882214,2.69587324],
ENSG00000104529.13,[  4.10098913  54.65447103 116.14838315],[4.10098913,nan,nan],[2.12513964,1.90570353,2.19429922],
ENSG00000172115.4,[ 4.28560207 43.59796235 74.13751957],[3.64276176,nan,nan],[2.26164013,1.9176878,2.58991574],
ENSG00000270672.1,[ 2.41001294 29.35255861 52.09556136],[2.16901164,nan,nan],[2.09428974,1.93315322,2.38070094],
ENSG00000188612.7,[ 3.60368008  5.79402534 14.11465698],[3.60368008,nan,nan],[2.43607098,1.95069677,2.99611201],
ENSG00000182809.6,[  2.22344548 285.05379489 583.85834986],[2.22344548,nan,nan],[2.04823918,1.98308646,2.11574602],
ENSG00000117724.8,[  0.65478852 137.15365329 287.26298775],[0.65478852,nan,nan],[2.09446107,2.01261463,2.17847908],
ENSG00000099901.12,[ 4.43801162 32.73940497 51.82461889],[3.5504093,nan,nan],[2.43773255,2.049493,2.85655354],
ENSG00000106211.8,[  2.94153154  91.07180724 193.64952544],[2.94153154,nan,nan],[2.12633889,2.05749511,2.19311599],
ENSG00000198668.6,[  2.73604136 318.4973282  679.49035536],[2.73604136,nan,nan],[2.13342561,2.06564424,2.19993866],
ENSG00000176340.3,[ 3.72380099 43.17435684 93.86757583],[3.3514209,nan,nan],[2.17415111,2.08863487,2.24613342],
ENSG00000115414.14,[  1.21975433 215.7708321  472.236417  ],[1.21975433,nan,nan],[2.18860173,2.11537092,2.26339541],
ENSG00000186010.14,[ 2.89779855  4.60923104 11.96308317],[2.89779855,nan,nan],[2.59546182,2.12922522,3.12899724],
ENSG00000099800.3,[ 4.0957579  35.94960302 64.33425698],[3.48139421,nan,nan],[2.48749944,2.14879327,2.85680231],
ENSG00000163041.5,[ 4.33406302 33.79661112 78.25849932],[4.33406302,nan,nan],[2.31557238,2.20534824,2.47707735],
ENSG00000132475.4,[  3.67195191  85.97568132 198.12602248],[3.67195191,nan,nan],[2.3044426,2.2079039,2.37637529],
ENSG00000115541.6,[  3.77702185  51.76646941 119.53787145],[3.39931967,nan,nan],[2.30917567,2.2330322,2.38340219],
ENSG00000197747.4,[6.32297752e-01 3.41629130e+02 7.99760615e+02],[0.63229775,nan,nan],[2.34101997,2.25210086,2.43426288],
ENSG00000198755.6,[  5.25062697  58.92794275 137.68879173],[3.41290753,nan,nan],[2.336562,2.26574577,2.41384228],
ENSG00000128951.9,[2.11772413 3.72361053 9.95833621],[2.11772413,nan,nan],[2.67437642,2.27535525,3.12027446],
ENSG00000196531.6,[ 4.29457023 27.87166176 72.66551346],[4.29457023,nan,nan],[2.60714679,2.28614359,2.94473442],
ENSG00000164104.7,[  1.39909944 135.69942271 321.97081811],[1.39909944,nan,nan],[2.3726764,2.29606748,2.45150659],
ENSG00000196230.8,[  4.19462219  45.48366392 108.51298495],[3.56542886,nan,nan],[2.38575734,2.30727563,2.4628748,]
ENSG00000116251.5,[  5.32916565 113.80839187 271.08543685],[4.26333252,nan,nan],[2.38194594,2.31043473,2.45633353],
