Gene,"k_on, k_off, k_syn",freq_point,lower,upper ,size_point,lower,upper ,
ENSG00000169429.6,[8.48259008e-03 3.54161486e+02 1.06148658e+03],[0.00848259,0.00714058,0.00956796],[2.99718242,2.32022162,3.91845886],
ENSG00000135346.4,[8.39789333e-03 3.21736889e+01 4.86680423e+01],[0.00965758,0.00744335,0.01295832],[1.24038604,0.87580933,1.75918702],
ENSG00000173432.6,[1.24128349e-02 5.09126712e+02 5.87896015e+02],[0.01241283,0.00932321,0.0125624 ],[1.1200731,0.82665682,1.55497605],
ENSG00000135625.6,[2.12619874e-02 1.44107195e+01 2.19560522e+01],[0.02232509,0.01895216,0.02628409],[1.38646842,1.11471143,1.71875524],
ENSG00000105197.6,[1.04811836 0.39437408 1.19968448],[1.04811836,0.29895203,2.48959857],[3.04199624,nan,nan],
ENSG00000140612.9,[1.32664544 0.44985076 1.12043115],[1.32664544,0.3999778,6.17022083],[0.09962692,nan,nan],
ENSG00000105438.4,[1.21601758 0.65940754 1.21877872],[1.21601758,0.43625372,2.80366147],[1.84829357,nan,nan],
ENSG00000101363.8,[1.57986857 1.0587838  1.22101577],[1.34288829,0.63731262,3.59063302],[1.49919228,0.27822735,4.37638021],
ENSG00000145354.5,[1.24648501 0.81678676 1.44477053],[1.24648501,0.66784865,2.15632936],[1.76884666,0.71628289,4.63451622],
ENSG00000164346.5,[1.31394063 0.61103536 1.65134806],[1.31394063,0.7051938,2.30868765],[2.70254091,1.05167681,7.18892931],
ENSG00000168288.8,[1.85166885 1.30396628 1.45935758],[1.75908541,0.76417283,4.1108137 ],[1.18631828,nan,nan],
ENSG00000185043.6,[1.57032019 0.78198584 1.12271784],[1.57032019,0.76995618,4.33781576],[1.43572657,0.24935126,3.94942088],
ENSG00000162961.9,[1.71503629 0.84386712 1.58822874],[1.71503629,0.85116004,3.45173223],[1.88208393,0.56173601,5.87777338],
ENSG00000167118.6,[1.41021662 1.01911248 1.0941293 ],[1.41021662,0.90220276,3.39235778],[1.07360996,0.24324338,1.96910392],
ENSG00000183726.6,[1.88224007 1.47357479 1.65930067],[1.88224007,0.90890254,4.08557174],[1.12603763,0.27924322,3.69389215],
ENSG00000103018.12,[1.68089247 1.06362562 1.11630431],[1.68089247,0.93960722,4.76210871],[1.04952748,0.1674871,2.28607916],
ENSG00000125445.6,[1.56578141 1.01531027 2.31838456],[1.56578141,1.02820958,2.41387659],[2.2834247,1.08921164,4.5673708,]
