Gene,"k_on, k_off, k_syn",freq_point,lower,upper ,size_point,lower,upper ,
ENSG00000221983.3,[ 4.79516434 17.54698763 53.88996141],[4.79516434,nan,nan],[3.07118022,2.69066876,3.486234,]
ENSG00000084207.11,[  4.12949833  44.27245148 129.47284892],[4.12949833,nan,nan],[2.92445628,2.70483336,3.01293279],
ENSG00000135919.8,[  1.04320733 148.25635701 415.65021411],[1.04320733,nan,nan],[2.80359117,2.70602817,2.88783029],
ENSG00000049247.9,[4.75225676e-01 5.72317709e+02 6.50828675e+02],[0.30889669,nan,nan],[2.91118269,2.77037471,3.08489527],
ENSG00000104870.8,[  1.87528156 190.47669221 546.8509482 ],[1.87528156,nan,nan],[2.87095992,2.78236169,2.95615947],
ENSG00000089220.4,[2.66396081 2.62006259 9.22999748],[2.66396081,nan,nan],[3.52281564,2.84575656,4.31036573],
ENSG00000163191.5,[ 1.27041569  6.7255559  20.82600956],[1.27041569,nan,nan],[3.09654843,2.84713479,3.3625955,]
ENSG00000115457.5,[ 2.46423643  5.97704769 19.47164862],[2.46423643,nan,nan],[3.25773687,2.88404295,3.66554948],
ENSG00000006327.9,[  0.83665271 104.37088055 315.16591556],[0.83665271,nan,nan],[3.01967286,2.91920651,3.121423,]
ENSG00000172809.8,[ 3.96383453 23.12475641 75.50501901],[3.96383453,nan,nan],[3.2651163,2.9252123,3.62610151],
ENSG00000140319.6,[ 3.82027592  7.20592826 24.6141144 ],[3.82027592,nan,nan],[3.41581452,2.9395986,3.94389739],
ENSG00000088986.6,[  3.70187894  32.67595144 110.09968206],[3.70187894,nan,nan],[3.36944074,3.04078573,3.46765417],
ENSG00000163682.11,[  4.50730781  39.55619561 133.56756836],[4.50730781,nan,nan],[3.37665355,3.06397332,3.47219799],
ENSG00000149806.6,[ 4.19919747 25.81011433 89.86786755],[4.19919747,nan,nan],[3.48188568,3.14051119,3.58891867],
ENSG00000171863.8,[  4.48833144  75.66126772 261.66226209],[4.48833144,nan,nan],[3.45833833,3.33050838,3.55116985],
ENSG00000183971.5,[ 2.15625803 22.3347915  69.26946138],[2.04844513,nan,nan],[3.56662746,3.37364419,3.83546125],
ENSG00000122585.3,[  0.99122356 488.41515782 927.19792178],[0.59473413,nan,nan],[3.49302054,3.38509424,3.65858816],
ENSG00000111057.6,[  0.69878259 192.03518465 694.26310256],[0.69878259,nan,nan],[3.61529114,3.46256094,3.70955706],
ENSG00000075624.9,[  5.13364595  52.04202395 195.76056391],[5.13364595,nan,nan],[3.76158629,3.49482725,3.86141624],
ENSG00000166803.6,[ 1.63005501  3.86099403 14.89584138],[1.63005501,nan,nan],[3.85803274,3.50419095,4.23362664],
ENSG00000132341.7,[ 3.58558842  8.63942458 34.35677218],[3.58558842,nan,nan],[3.97674311,3.54869853,4.43779169],
ENSG00000172270.14,[1.98203525 1.43190113 6.56429808],[1.98203525,nan,nan],[4.58432355,3.55072826,5.8465413,]
ENSG00000108106.9,[  1.12253309 159.14734625 588.7105738 ],[1.12253309,nan,nan],[3.6991542,3.57147397,3.78543131],
ENSG00000198417.5,[ 0.43457929 22.30670015 85.23368628],[0.43457929,nan,nan],[3.82099036,3.62559152,3.93272811],
ENSG00000171858.13,[ 3.91769555 23.59743082 94.52718958],[3.91769555,nan,nan],[4.00582548,3.63405957,4.23573007],
ENSG00000149591.12,[2.14367842e-01 3.99318242e+02 1.95009120e+03],[0.21436784,nan,nan],[3.85800569,3.70974412,4.09095177],
ENSG00000196262.9,[ 4.06703475  7.00000718 29.81844511],[4.06703475,nan,nan],[4.25977351,3.73370778,4.83101389],
ENSG00000100804.14,[ 3.06342656  3.54227942 15.91560168],[3.06342656,nan,nan],[4.4930396,3.84012307,5.22219458],
ENSG00000117632.16,[ 3.57564871  9.81981821 32.9589991 ],[3.03930141,nan,nan],[4.3632884,3.87790897,4.97099089],
ENSG00000169567.7,[ 3.6183881   9.77021867 42.18111923],[3.6183881,nan,nan],[4.31731578,3.8946012,4.76583224],
ENSG00000123689.5,[9.50072640e-02 5.84203723e+01 2.45590424e+02],[0.09500726,nan,nan],[4.203849,3.89498014,4.4986359,]
ENSG00000106153.12,[ 3.40578164  9.21983974 39.80106442],[3.40578164,nan,nan],[4.3168933,3.90363005,4.75462008],
ENSG00000148303.12,[  4.13650054  43.23224802 181.71456521],[4.13650054,nan,nan],[4.20321805,3.91386155,4.31945987],
ENSG00000134443.5,[ 1.02533127 14.16617453 58.40245053],[0.9740647,nan,nan],[4.12266914,3.99677799,4.25274291],
ENSG00000175063.12,[  0.54660061  67.25209818 305.03729255],[0.54660061,nan,nan],[4.53572901,4.37614523,4.68079947],
ENSG00000161970.8,[ 3.69613295 20.24123454 98.52711684],[3.69613295,nan,nan],[4.86764365,4.47060309,5.284973,]
ENSG00000119630.9,[  0.42839192  61.13877442 287.68720201],[0.42839192,nan,nan],[4.70547872,4.49557818,4.84621342],
ENSG00000114391.8,[ 3.6567668  12.98173631 65.63309722],[3.6567668,nan,nan],[5.05580268,4.62158486,5.51865923],
ENSG00000198755.6,[  5.24068993  56.43040726 132.61189699],[3.40644846,nan,nan],[5.38151785,4.80314922,6.00168116],
ENSG00000110700.2,[ 3.98520637 16.20699633 86.12356697],[3.98520637,nan,nan],[5.31397461,4.87781929,5.7773683,]
ENSG00000065978.13,[  3.6552224   25.4030651  134.94733563],[3.6552224,nan,nan],[5.31224618,4.89630226,5.43629699],
ENSG00000111669.10,[ 3.1924563   4.53212761 24.89656307],[3.1924563,nan,nan],[5.49334997,4.9077013,6.13181089],
ENSG00000197728.5,[ 3.3337439  10.36776695 55.79381885],[3.3337439,nan,nan],[5.38146923,4.9381095,5.86246308],
ENSG00000108298.5,[ 3.60377885  8.62509501 47.35990639],[3.60377885,nan,nan],[5.49094316,5.00535685,6.00787871],
ENSG00000100316.11,[ 3.66503908  8.82247062 48.84770881],[3.66503908,nan,nan],[5.53673805,5.05260509,6.04894084],
ENSG00000172757.8,[ 3.44070069 10.20708246 56.68761797],[3.44070069,nan,nan],[5.55375331,5.11401278,6.0172064,]
ENSG00000213741.4,[  3.52128795  19.99035762 110.87183651],[3.52128795,nan,nan],[5.54626579,5.14218068,5.77733405],
ENSG00000138326.14,[ 4.06769085 10.63286472 62.10469056],[4.06769085,nan,nan],[5.84082392,5.35135128,6.36635327],
ENSG00000063177.8,[ 3.75564542 12.11606862 70.62918233],[3.75564542,nan,nan],[5.82938118,5.37822999,6.30501423],
ENSG00000147604.9,[  4.28596449  23.02406743 135.99909733],[4.28596449,nan,nan],[5.90682327,5.45922612,6.04389717],
ENSG00000162244.6,[ 3.20472068  9.06328618 54.40463193],[3.20472068,nan,nan],[6.00274899,5.5517928,6.47383842],
ENSG00000145425.5,[  4.06871335  16.94787998 104.13383188],[4.06871335,nan,nan],[6.14435741,5.59849355,6.65838267],
ENSG00000198830.6,[ 2.35693456  6.80256182 40.96936454],[2.35693456,nan,nan],[6.02263759,5.60076584,6.46016604],
ENSG00000124614.9,[ 3.61518126 10.32036415 62.88098615],[3.61518126,nan,nan],[6.09290382,5.62826018,6.58580089],
ENSG00000196611.4,[4.20601477e-01 3.47201527e+02 1.27095175e+03],[0.27339096,nan,nan],[6.18634507,5.9752355,6.50938438],
ENSG00000145592.9,[  3.66569036  20.23809708 135.43763918],[3.66569036,nan,nan],[6.69221215,6.23718925,6.84125659],
ENSG00000170889.9,[ 3.75886269  5.1212595  35.40915301],[3.75886269,nan,nan],[6.91414935,6.24409275,7.63632028],
ENSG00000205358.3,[2.47482217e-02 1.32792963e+01 1.17255978e+02],[0.02722304,nan,nan],[7.24058713,6.40555054,8.10560001],
ENSG00000109475.12,[  3.93883302  23.62623774 166.90282612],[3.93883302,nan,nan],[7.06429978,6.57383896,7.21644152],
ENSG00000166441.8,[ 3.36599129 11.84002726 84.85109997],[3.36599129,nan,nan],[7.16646154,6.67357508,7.67726932],
ENSG00000130255.8,[  3.73745226  17.24342675 126.84688399],[3.73745226,nan,nan],[7.13555833,6.71069038,7.50759483],
ENSG00000189403.10,[  3.61891674  16.93812861 131.08115345],[3.61891674,nan,nan],[7.73882148,7.23859644,7.90596304],
ENSG00000118181.6,[ 3.78181784 11.10577297 86.60679087],[3.78181784,nan,nan],[7.79835776,7.26955729,8.3488768,]
ENSG00000136942.10,[  3.99989718  20.70337036 164.25637058],[3.99989718,nan,nan],[7.93379859,7.39580589,8.09978243],
ENSG00000143947.8,[  4.00108075  12.64712123 101.10419264],[4.00108075,nan,nan],[7.99424555,7.44434609,8.57335293],
ENSG00000182899.10,[ 3.61574864  9.57796221 78.18829803],[3.61574864,nan,nan],[8.1633542,7.61129138,8.73785304],
ENSG00000233927.4,[  3.95952704  22.80991024 194.76605422],[3.95952704,nan,nan],[8.53865939,7.97774187,8.71057863],
ENSG00000197756.5,[  3.63530331  27.54897433 240.17934594],[3.63530331,nan,nan],[8.71826817,8.36425735,8.8886404,]
ENSG00000256618.1,[ 1.87473348  8.34714803 73.56879007],[1.87473348,nan,nan],[8.81364387,8.38022285,9.26532045],
ENSG00000142937.7,[  3.74062055  19.27673296 177.52243485],[3.74062055,nan,nan],[9.20915568,8.61958845,9.39239754],
ENSG00000197956.5,[7.05885100e-01 2.07547433e+02 1.87707659e+03],[0.7058851,nan,nan],[9.04408484,8.76007583,9.25611893],
ENSG00000231500.2,[  3.66577943  20.08805166 201.05991541],[3.66577943,nan,nan],[10.00893062,9.40545663,10.20243339],
ENSG00000142541.12,[  3.71529485  17.88209604 179.42358447],[3.71529485,nan,nan],[10.03369986,9.4274838,10.23166586],
ENSG00000002586.13,[ 2.01840831  3.53881806 36.61174402],[2.01840831,nan,nan],[10.34575481,9.72869793,10.98846581],
ENSG00000144713.8,[  4.168913    29.2190748  220.35384341],[3.54357605,nan,nan],[10.25635579,9.76726325,10.79450641],
ENSG00000147403.12,[  4.49563249  32.17372089 306.90653827],[3.82128762,nan,nan],[10.11138661,9.7874351,10.2360345,]
ENSG00000123416.11,[ 2.52767138  8.87728428 94.01052279],[2.52767138,nan,nan],[10.59000927,10.01877186,11.18259144],
ENSG00000112306.7,[  3.64473453  25.71564083 279.77745811],[3.64473453,nan,nan],[10.87966113,10.44920685,11.08575207],
ENSG00000187514.10,[  3.95109901  19.03759024 180.12763393],[3.55598911,nan,nan],[11.73248627,10.91850377,12.33463201],
ENSG00000186468.8,[  3.52797007  17.70758987 229.60858174],[3.52797007,nan,nan],[12.96667607,12.26040697,13.20714425],
ENSG00000161016.11,[  3.60841766  17.70783687 233.73570395],[3.60841766,nan,nan],[13.19956275,12.51235902,13.44046498],
ENSG00000122026.6,[  4.3125775   23.75655741 237.91257203],[3.88131975,nan,nan],[13.31942652,12.59586771,13.84692763],
ENSG00000166710.13,[ 2.20622256  2.88357693 48.04814695],[2.20622256,nan,nan],[16.66268947,15.82510178,17.55269641],
ENSG00000167996.11,[2.92488605e+00 2.93999684e+02 4.88057043e+03],[2.92488605,nan,nan],[16.60059755,16.10188744,16.79865377],
ENSG00000229117.4,[  3.45054326  18.48597997 408.35176826],[3.45054326,nan,nan],[22.08980908,21.24292919,22.46284123],
ENSG00000169715.10,[2.29978197e-01 3.22832603e+01 7.25485860e+02],[0.2299782,nan,nan],[22.4725091,21.71101858,23.34339454],
ENSG00000125144.9,[2.47978325e-01 5.73635274e+01 1.64384692e+03],[0.24797833,nan,nan],[28.65665686,27.59831194,29.58695851],
ENSG00000213190.2,[  2.66892737 834.07766077 944.79111921],[2.66892737,nan,nan],[0.92884482,nan,nan],
ENSG00000197903.6,[6.33040881e-01 9.89081807e+02 1.08138882e+03],[0.63304088,nan,nan],[1.06052619,nan,nan],
ENSG00000119705.5,[   4.2854841   885.03546904 1378.89871047],[4.2854841,nan,nan],[1.37105337,nan,nan],
ENSG00000173812.6,[   4.07421631  998.1481663  1528.44531021],[4.07421631,nan,nan],[1.48534256,nan,nan],
ENSG00000096384.15,[   3.75898033  991.39853126 1526.07207875],[3.75898033,nan,nan],[1.49313305,nan,nan],
ENSG00000142871.11,[2.59706046e-01 9.10199741e+02 1.61294429e+03],[0.25970605,nan,nan],[1.61259034,nan,nan],
ENSG00000117724.8,[6.47895020e-01 8.90166498e+02 1.86795227e+03],[0.64789502,nan,nan],[1.84661859,nan,nan],
ENSG00000115053.11,[   2.26189843  587.78504139 1161.3758695 ],[2.37499335,nan,nan],[1.85730027,nan,nan],
ENSG00000142669.9,[  2.71286508 453.45420173 847.10923164],[2.71286508,nan,nan],[1.86812522,nan,nan],
ENSG00000105372.2,[   4.62580638  169.8700182  2042.63389847],[4.62580638,nan,nan],[12.02468758,nan,nan],
ENSG00000034510.4,[  3.57130116  50.80064782 635.87301354],[3.57130116,nan,nan],[12.51702568,nan,nan],
ENSG00000167526.9,[  3.66119245  53.82351513 694.20264892],[3.11201358,nan,nan],[12.89775755,nan,nan],
ENSG00000205542.6,[1.55286130e+00 1.86468048e+02 2.57748813e+03],[1.63050436,nan,nan],[13.40799947,nan,nan],
ENSG00000137818.7,[   4.10190284  115.02290928 2124.54430587],[4.10190284,nan,nan],[18.47061876,nan,nan],
ENSG00000198668.6,[  2.70218054 369.27352366 797.92910527],[2.70218054,nan,nan],[2.09598355,nan,nan],
ENSG00000197747.4,[6.34860919e-01 9.27627067e+02 2.16019734e+03],[0.63486092,nan,nan],[2.11914857,nan,nan],
ENSG00000115414.14,[  1.17074232 313.85622885 721.77224724],[1.22927944,nan,nan],[2.16170925,nan,nan],
ENSG00000175868.9,[3.25723313e-01 7.62435183e+02 2.36013930e+03],[0.32572331,nan,nan],[2.35260113,nan,nan],
ENSG00000189043.5,[   3.62981135  397.65261696 1003.13117899],[3.62981135,nan,nan],[2.52263191,nan,nan],
ENSG00000168028.9,[  4.45222078 311.40153377 777.68075234],[4.22960974,nan,nan],[2.57227755,nan,nan],
ENSG00000173660.7,[  3.86918131  97.40459991 253.06200385],[3.86918131,nan,nan],[2.59804983,nan,nan],
ENSG00000092841.14,[  4.3146742   64.27345284 168.58953312],[3.66747307,nan,nan],[2.62300414,nan,nan],
ENSG00000118523.5,[2.60040872e-01 9.64969126e+02 2.68020253e+03],[0.26004087,nan,nan],[2.69417579,nan,nan],
ENSG00000104904.8,[  4.20402209  45.24233354 124.37136125],[3.57341877,nan,nan],[2.74900412,nan,nan],
ENSG00000137154.8,[  4.55489077 170.88434982 484.08432668],[3.64391262,nan,nan],[2.83281838,nan,nan],
ENSG00000142534.2,[  4.95324828  60.19752253 177.9277806 ],[3.96259862,nan,nan],[2.95573261,nan,nan],
ENSG00000140988.11,[  2.95088001  27.43132151 664.30553756],[2.65579201,nan,nan],[24.21704464,nan,nan],
ENSG00000187193.8,[3.27236972e-01 3.96189927e+01 1.00118947e+03],[0.32723697,nan,nan],[24.51232912,nan,nan],
ENSG00000117318.8,[  2.31424797 101.9678523  308.8293612 ],[2.31424797,nan,nan],[3.0286934,nan,nan],
ENSG00000181163.9,[   2.37240597  360.27211343 1168.97501743],[2.49102627,nan,nan],[3.05001824,nan,nan],
ENSG00000204628.7,[   2.49970186  310.96453487 1062.6264375 ],[2.49970186,nan,nan],[3.41719495,nan,nan],
ENSG00000102265.7,[1.62159178e+00 7.43169720e+02 3.54943867e+03],[1.78375096,nan,nan],[3.48653903,nan,nan],
ENSG00000140264.15,[  4.15014748 125.17826901 440.98004788],[4.15014748,nan,nan],[3.52281631,nan,nan],
ENSG00000110092.3,[  3.10759123 149.34259578 545.4295353 ],[3.10759123,nan,nan],[3.65220339,nan,nan],
ENSG00000134419.11,[  4.70774354 118.72749468 436.36174553],[3.76619483,nan,nan],[3.67532177,nan,nan],
ENSG00000133112.12,[   2.93632136  337.53663646 1293.40080996],[2.93632136,nan,nan],[3.71692625,nan,nan],
ENSG00000089009.11,[  4.83481817 121.5831762  456.87848184],[4.10959544,nan,nan],[3.75774425,nan,nan],
ENSG00000108518.7,[  4.41276894  53.97819185 213.46099198],[3.53021515,nan,nan],[3.95457841,nan,nan],
ENSG00000087086.9,[1.93563892e+00 1.09349148e+02 3.29284794e+03],[1.93563892,nan,nan],[30.11315586,nan,nan],
ENSG00000071082.6,[  4.76970622  93.10124593 380.23148867],[3.57727966,nan,nan],[4.08406445,nan,nan],
ENSG00000083845.4,[  4.95489296 106.74637358 438.81145606],[3.96391436,nan,nan],[4.11078561,nan,nan],
ENSG00000198034.6,[  4.63661519 113.18933803 505.56978685],[4.63661519,nan,nan],[4.46658489,nan,nan],
ENSG00000108107.8,[  4.23351472  79.17563998 369.50145883],[3.59848751,nan,nan],[4.66685787,nan,nan],
ENSG00000105974.7,[   3.49107013  228.99476096 1074.60228137],[3.49107013,nan,nan],[4.69269374,nan,nan],
ENSG00000184009.5,[   2.91289516  324.92726969 1640.33361216],[3.05853992,nan,nan],[4.89686078,nan,nan],
ENSG00000197061.3,[  0.48200632   4.48414505 191.07329684],[0.48200632,nan,nan],[42.61086444,nan,nan],
ENSG00000125148.6,[6.31799394e-01 1.35690497e+01 6.59050828e+02],[0.66338936,nan,nan],[48.57015376,nan,nan],
ENSG00000198242.9,[  4.27759884  67.42549562 344.17690398],[3.63595901,nan,nan],[5.10455134,nan,nan],
ENSG00000197958.8,[  4.05406991  62.73795129 320.56895232],[4.05406991,nan,nan],[5.10964967,nan,nan],
ENSG00000142676.8,[  4.83139283  98.60881675 517.92399897],[3.86511426,nan,nan],[5.25230924,nan,nan],
ENSG00000089157.11,[  4.87593412  48.22137821 271.48108152],[3.90074729,nan,nan],[5.62989055,nan,nan],
ENSG00000149273.10,[   5.04878532  193.39810748 1097.59408529],[5.04878532,nan,nan],[5.67530934,nan,nan],
ENSG00000174748.14,[  4.65673497  87.50166889 497.38989423],[3.72538798,nan,nan],[5.68434752,nan,nan],
ENSG00000177600.4,[   4.06692302  176.51869206 1068.71632564],[4.06692302,nan,nan],[6.05440882,nan,nan],
ENSG00000198918.7,[  4.38167045  34.11364419 214.67981066],[3.72441988,nan,nan],[6.29307762,nan,nan],
ENSG00000105193.4,[  4.12217998  48.17441902 304.26278236],[3.50385298,nan,nan],[6.31585785,nan,nan],
ENSG00000164587.7,[   4.50960027  227.69519854 1540.38005855],[4.50960027,nan,nan],[6.7650968,nan,nan],
ENSG00000156508.13,[  5.06632763 129.2367077  926.83722841],[5.31964401,nan,nan],[7.17162519,nan,nan],
ENSG00000187094.7,[4.53196395e-02 7.55236267e+02 7.41908413e+03],[0.04531964,nan,nan],[7.4658808,nan,nan],
ENSG00000164032.7,[  2.72361301  17.33099446 135.65920133],[2.45125171,nan,nan],[7.82754859,nan,nan],
ENSG00000100097.7,[  0.8848087   42.78304823 337.20876612],[0.84056826,nan,nan],[7.88183124,nan,nan],
ENSG00000115268.5,[   4.6733201   180.47756761 1542.2929736 ],[4.6733201,nan,nan],[8.54562145,nan,nan],
ENSG00000105640.8,[  4.35108472  32.50142213 281.41357676],[3.69842202,nan,nan],[8.65850041,nan,nan],
ENSG00000177954.7,[  3.76374653  35.93184489 324.25733494],[3.76374653,nan,nan],[9.02423285,nan,nan],
ENSG00000170540.10,[4.79761825e-01 5.56307414e+02 6.45926463e+02],[0.57571419,nan,nan],[nan,nan,nan],
ENSG00000181649.5,[6.49319983e-01 7.03732894e+02 1.09924458e+03],[0.64931998,nan,nan],[nan,nan,nan],
