Gene,"k_on, k_off, k_syn",freq_point,lower,upper ,size_point,lower,upper ,
ENSG00000254999.2,[3.22783175 4.56744964 5.62078651],[3.22783175,2.55276303,4.21232306],[1.23061817,0.76005714,1.87495674],
ENSG00000173674.6,[3.10152769 6.01704708 8.48992639],[3.10152769,2.62612414,3.72418166],[1.41097889,1.01504398,1.9046312,]
ENSG00000132432.9,[3.1552846  3.64441753 6.56331214],[3.1552846,2.63600596,3.87561737],[1.80092212,1.24003307,2.51563902],
ENSG00000100300.13,[3.11800765 6.45966337 8.58874628],[3.11800765,2.64421744,3.74024203],[1.32959657,0.95868617,1.78733464],
ENSG00000151366.8,[3.18656209 4.31007684 8.4910903 ],[3.18656209,2.71286473,3.79810434],[1.97005543,1.43320478,2.63556917],
ENSG00000167815.7,[3.22182505 4.61967506 8.04335705],[3.22182505,2.73516549,3.86105888],[1.74110883,1.25459504,2.34143821],
ENSG00000165119.14,[3.85059284 3.70469704 4.98848788],[3.85059284,2.73949232,5.85267169],[1.34653059,0.6202827,2.51394248],
ENSG00000139343.6,[3.73380759 5.52992201 9.94989777],[3.73380759,3.20359755,4.41659968],[1.79928356,1.32574251,2.37133993],
ENSG00000169714.12,[ 3.91706607 15.44068148 18.03534893],[3.91706607,3.35837578,4.63329944],[1.16804099,0.86094915,1.54096677],
ENSG00000161547.10,[ 3.67979371 17.5996716  17.84506831],[4.04777308,3.43925962,4.57959429],[0.86185177,0.70505055,1.14035664],
ENSG00000175756.9,[ 3.89513806 14.67968038 15.54186546],[4.08989497,3.46435519,4.94262671],[0.96344724,0.67659332,1.31569565],
ENSG00000092199.13,[ 4.36917747 19.09837659 19.4761941 ],[4.36917747,3.69541355,5.27651646],[1.0197827,0.76332596,1.3895136,]
ENSG00000078618.15,[ 2.53294546 31.37979607 32.33547143],[2.65959273,nan,nan],[0.9068005,0.86219336,0.96430845],
ENSG00000141552.13,[ 3.65080584 18.40917524 19.55696536],[3.46826555,nan,nan],[1.18983066,0.90406897,1.51667826],
ENSG00000228474.1,[ 4.41794514 39.09124796 39.46215648],[4.41794514,nan,nan],[1.00948828,0.90923225,1.30226338],
ENSG00000184990.8,[2.42472697 7.66086362 9.14458603],[2.42472697,nan,nan],[1.19367561,0.91764911,1.51979314],
ENSG00000132329.6,[ 0.75795618 10.12035818 10.76167954],[0.75795618,nan,nan],[1.1271716,0.92464256,1.2926981,]
ENSG00000166311.5,[0.91347129 8.52347775 9.19817276],[0.86779772,nan,nan],[1.14390668,0.95076517,1.35497774],
ENSG00000101608.8,[  3.6091912  332.50584589 332.99050243],[3.6091912,nan,nan],[1.00145759,0.9605512,1.04346309],
